date,gross_price_total
2017-09-01,601043.20
2017-10-01,803154.00
2017-12-01,1173098.31
2018-01-01,616204.53
2018-02-01,697151.38
2018-04-01,623349.66
2018-05-01,671809.79
2018-06-01,606766.52
2018-08-01,607773.60
2018-09-01,1594729.76
2018-10-01,2051804.16
2018-12-01,3022766.25
2019-01-01,1674980.43
2019-02-01,1662052.88
2019-04-01,1740050.96
2019-05-01,1610871.94
2019-06-01,1582085.07
2019-08-01,1559986.70
2019-09-01,3103304.73
2019-10-01,4156101.75
2019-12-01,5629655.65
2020-01-01,3067797.38
2020-02-01,3258754.72
2020-04-01,493415.28
2020-05-01,550601.53
2020-06-01,1377367.63
2020-08-01,3020811.72
2020-09-01,6965856.33
2020-10-01,9516982.42
2020-12-01,12553037.40
2021-01-01,7083346.34
2021-02-01,7160951.32
2021-04-01,6997035.54
2021-05-01,6717638.12
2021-06-01,7069469.33
2021-08-01,7223495.20
2021-09-01,30394749.67
2021-10-01,37634553.91
2021-12-01,53116138.93
